"","EM","X","Y"
"tCommonRatio1a","CommonRatioEasyEM",108,294
"tCommonRatio1b","CommonRatioEasyEM",108,414
"tCommonRatio2a","CommonRatioMedEM",108,534
"tCommonRatio2b","CommonRatioMedEM",108,654
"tCommonRatio3a","CommonRatioHardEM",108,774
"tCommonRatio3b","CommonRatioHardEM",108,894
"tExamplesGeometric1a","ExamplesEasyEM",342,294
"tExamplesGeometric1b","ExamplesEasyEM",342,414
"tExamplesGeometric2a","ExamplesMedEM",342,534
"tExamplesGeometric2b","ExamplesMedEM",342,654
"tExamplesGeometric3a","ExamplesHardEM",342,774
"tExamplesGeometric3b","ExamplesHardEM",342,894
"tExtendGeometric1a","ExtendEasyEM",588,294
"tExtendGeometric1b","ExtendEasyEM",588,414
"tExtendGeometric2a","ExtendMedEM",588,534
"tExtendGeometric2b","ExtendMedEM",588,654
"tExtendGeometric3a","ExtendHardEM",588,774
"tExtendGeometric3b","ExtendHardEM",588,894
"tTableExtendGeometric1a","TableExtendEasyEM",1134,282
"tTableExtendGeometric1b","TableExtendEasyEM",1134,402
"tTableExtendGeometric2a","TableExtendMedEM",1134,522
"tTableExtendGeometric2b","TableExtendMedEM",1134,642
"tTableExtendGeometric3a","TableExtendHardEM",1134,762
"tTableExtendGeometric3b","TableExtendHardEM",1134,882
"tModelExtendTableGeometric1a","ModelTableExtendEasyEM",858,288
"tModelExtendTableGeometric1b","ModelTableExtendEasyEM",858,408
"tModelExtendTableGeometric2a","ModelTableExtendMedEM",858,528
"tModelExtendTableGeometric2b","ModelTableExtendMedEM",858,648
"tModelExtendTableGeometric3a","ModelTableExtendHardEM",858,768
"tModelExtendTableGeometric3b","ModelTableExtendHardEM",858,888
