"","Node","NStates","States","Link","LinkScale","TableGeometric","ModelGeometric","ExtendGeometric","ExamplesGeometric","CommonRatio","SolveGeometricProblems","Rules","A.TableGeometric","A.ModelGeometric","A.ExtendGeometric","A.ExamplesGeometric","A.CommonRatio","A.SolveGeometricProblems","B","PriorWeight"
"1","tModelExtendTableGeometric3b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0,0.405465108108164,0,NA,NA,NA,1,""
"2","tModelExtendTableGeometric3a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0,0.405465108108164,0,NA,NA,NA,1,""
"3","tModelExtendTableGeometric2b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0,0.405465108108164,0,NA,NA,NA,0,""
"4","tModelExtendTableGeometric2a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0,0.405465108108164,0,NA,NA,NA,0,""
"5","tModelExtendTableGeometric1b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0,0.405465108108164,0,NA,NA,NA,-1,""
"6","tModelExtendTableGeometric1a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0,0.405465108108164,0,NA,NA,NA,-1,""
"7","tTableExtendGeometric3b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0.405465108108164,NA,0,NA,NA,NA,1,""
"8","tTableExtendGeometric3a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0.405465108108164,NA,0,NA,NA,NA,1,""
"9","tTableExtendGeometric2b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0.405465108108164,NA,0,NA,NA,NA,0,""
"10","tTableExtendGeometric2a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0.405465108108164,NA,0,NA,NA,NA,0,""
"11","tTableExtendGeometric1b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0.405465108108164,NA,0,NA,NA,NA,-1,""
"12","tTableExtendGeometric1a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",0.405465108108164,NA,0,NA,NA,NA,-1,""
"13","tExtendGeometric3b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,0,NA,NA,NA,1,""
"14","tExtendGeometric3a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,0,NA,NA,NA,1,""
"15","tExtendGeometric2b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,0,NA,NA,NA,0,""
"16","tExtendGeometric2a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,0,NA,NA,NA,0,""
"17","tExtendGeometric1b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,0,NA,NA,NA,-1,""
"18","tExtendGeometric1a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,0,NA,NA,NA,-1,""
"19","tExamplesGeometric3b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,0,NA,NA,1,""
"20","tExamplesGeometric3a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,0,NA,NA,1,""
"21","tExamplesGeometric2b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,0,NA,NA,0,""
"22","tExamplesGeometric2a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,0,NA,NA,0,""
"23","tExamplesGeometric1b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,0,NA,NA,-1,""
"24","tExamplesGeometric1a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,0,NA,NA,-1,""
"25","tCommonRatio3b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,NA,0,NA,1,""
"26","tCommonRatio3a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,NA,0,NA,1,""
"27","tCommonRatio2b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,NA,0,NA,0,""
"28","tCommonRatio2a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,NA,0,NA,0,""
"29","tCommonRatio1b",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,NA,0,NA,-1,""
"30","tCommonRatio1a",2,"Yes","partialCredit",0,1,1,1,1,1,1,"""Compensatory""",NA,NA,NA,NA,0,NA,-1,""
